person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Ngô Kiến Huy,Ngô Kiến Huy,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,2008–nay,"1,75m",,1,,
Phước Sang,Phước Sang,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Nhà sản xuất điện ảnh",,Việt Nam,ethnicity,,,Kim Thư (2007),2,,
Việt Anh (nghệ sĩ),Việt Anh (nghệ sĩ),birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,,1,,
Tuyết Thu,Tuyết Thu,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,2002&ndash;nay,,,,,
Bảo Quốc,Bảo Quốc,birth_date,,Diễn viên,,Việt Nam,ethnicity,,,Nguyễn Ngọc Thu Thủy,Hồng Loan,,
hủ tiếu,hủ tiếu,birth_date,,,,,ethnicity,,,,,,
Phi Phụng,Phi Phụng,birth_date,"Trà Vinh, Việt Nam Cộng hòa","Diễn viên truyền hình, Diễn viên điện ảnh, Diễn viên kịch nói, Diễn viên hài",,Việt Nam,ethnicity,,"1,55m","''Không rõ tên'' , (cưới 1984, mất 2017)","Phi Hạt, Phi Mí, Sáu Chôm, Tư Nước",,
Phương Trinh Jolie,Phương Trinh Jolie,birth_date,,,,,ethnicity,,,,,,
Tấn Bo,Tấn Bo,birth_date,"Sài Gòn, Việt Nam cộng hòa",Diễn viên,,Việt Nam,ethnicity,1998nay,,Xuân Nhi (1999),4,Tấn Beo (anh trai),
Kim Ngọc (nghệ sĩ),Kim Ngọc (nghệ sĩ),birth_date,"Thủ Đức, Gia Định, Liên bang Đông Dương",Nghệ sĩ,,Việt Nam,ethnicity,,,Đức Lang,Hiếu Hiền,,"Hoa Mộc Lan tùng chinh, Hàn Mặc Tử, Kiều Nguyệt Nga, Hoa hậu vũ trụ, Bà ngoại thời @, Câu chuyện cái tivi"
Isaac (ca sĩ),Isaac (ca sĩ),birth_date,"Cần Thơ, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,,"1,72m",,,,
Dương Cẩm Lynh,Dương Cẩm Lynh,birth_date,"Long Khánh, Đồng Nai, Việt Nam",Diễn viên,,Việt Nam,ethnicity,1999–nay,"1,65m",Phạm Việt Anh Khoa (2014),2,,
Anh Tú (sinh 1993),Anh Tú (sinh 1993),birth_date,"Hà Nội, Việt Nam","Diễn viên, Ca sĩ",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,,ethnicity,2012–nay,"1,73m","Diệu Nhi, 2022",,,
Mạc Văn Khoa,Mạc Văn Khoa,birth_date,"Chí Linh, Hải Dương, Việt Nam","Diễn viên, Nghệ sĩ hài",,,ethnicity,2015 – nay,"1,75m",Thảo Vy (2020),1,,
Khả Như,Khả Như,birth_date,"Ngã Bảy, Hậu Giang, Việt Nam","Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,,"1,60m",,,,
Hữu Châu,Hữu Châu,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,,,,
Lê Giang (nghệ sĩ),Lê Giang (nghệ sĩ),birth_date,"Vĩnh Long, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài, Nghệ sĩ cải lương",,Việt Nam,ethnicity,1987–nay,,"Duy Phương (1992), Đã kết hôn (2009)",3,,Danh sách
Quang Minh - Hồng Đào,Quang Minh - Hồng Đào,birth_date,,,,,ethnicity,,,,,,
Trung Dân,Trung Dân,birth_date,"Nhị Bình, Hóc Môn, Gia Định, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,Phạm Thị Phương,2,,
Hari Won,Hari Won,birth_date,"Seoul, Hàn Quốc","Ca sĩ, Diễn viên, Người dẫn chương trình","Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Việt Nam,ethnicity,2012 – nay,"1,68m",Trấn Thành (2016),,,
Thuận Hoàng,Thuận Hoàng,birth_date,,,,,ethnicity,,,,,,
Hoàng Thanh Mai,Hoàng Thanh Mai,birth_date,,,,,ethnicity,,,,,,
Tuấn Trần,Tuấn Trần,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu",,Việt Nam,ethnicity,"2010, 2015–nay","1,86m",,,,
Ngân Chi,Ngân Chi,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên nhí,,Việt Nam,ethnicity,2016 – nay,,,,,
Ngọc Giàu,Ngọc Giàu,birth_date,"Thủ Thiêm, Gia Định, Nam Kỳ, Liên bang Đông Dương","Diễn viên, Nghệ sĩ cải lương",,Việt Nam,ethnicity,1956 – nay,,,,,
Lan Phương,Lan Phương,birth_date,"Hà Nội, Việt Nam","Diễn viên, Người dẫn chương trình","*Trường Đại học Ngoại thương cơ sở II, Thành phố Hồ Chí Minh *Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh",Việt Nam,ethnicity,2003 – nay,,David Duffy (2018),2,,
Nguyễn Minh Tú,Nguyễn Minh Tú,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Người mẫu, Nhân vật truyền hình",,Việt Nam,ethnicity,2010–nay,"1,78m",Christopher Schnieders (2024),,,
Xuân Nghị,Xuân Nghị,birth_date,"Khánh Hòa, Việt Nam","Diễn viên, Diễn viên hài",,Việt Nam,ethnicity,2010 &ndash; nay,,,,,
Mai Trần,Mai Trần,birth_date,"Trà Vinh, Quốc gia Việt Nam",Diễn viên,,"((trước 1975)), ((hiện tại))",ethnicity,,,,,,
Trúc Nhân,Trúc Nhân,birth_date,"Hoài Nhơn, Bình Định, Việt Nam",Ca sĩ,Đại học Văn Lang,Việt Nam,ethnicity,2012–nay,,,,,
Lê Dương Bảo Lâm,Lê Dương Bảo Lâm,birth_date,"Đồng Nai, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2010–nay,"1,74m",Tạ Thị Quỳnh Anh (Quỳnh Quỳnh) (2017),"3 (Bảo Nhi, Bảo Ngọc, Kuphin)",,
Diệu Nhi,Diệu Nhi,birth_date,"Bình Thuận, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2008nay,,Anh Tú Atus (2022),,,
Bà Tân Vlog,Bà Tân Vlog,birth_date,,,,,ethnicity,,,,,,
Lê Giang,Lê Giang,birth_date,"Vĩnh Long, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài, Nghệ sĩ cải lương",,Việt Nam,ethnicity,1987–nay,,"Duy Phương (1992), Đã kết hôn (2009)",3,,Danh sách
Uyển Ân,Uyển Ân,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,Đại học RMIT,Việt Nam,ethnicity,2017–nay,,,,* Huỳnh Trấn Thành ((anh trai)) * Huỳnh Trinh Mi ((chị gái)),
Song Luân,Song Luân,birth_date,"Đồng Nai, Việt Nam","Diễn viên, Ca sĩ",,Việt Nam,ethnicity,,"1,81m",,,,
Công Ninh,Công Ninh,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,Học viện Kỹ thuật điện ảnh Leningrad,Việt Nam,ethnicity,1990 – nay,,Tuyết Vân (2013),1,,
Ngân Quỳnh,Ngân Quỳnh,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Nghệ sĩ cải lương, Diễn viên",,Việt Nam,ethnicity,2002 - nay,,,,,
Băng Di,Băng Di,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Ca sĩ, Người mẫu",,Việt Nam,ethnicity,2008–nay,,,,,
bác Ba Phi,bác Ba Phi,birth_date,,,,,ethnicity,,,,,,
nói dối,nói dối,birth_date,,,,,ethnicity,,,,,,
Hứa Vĩ Văn,Hứa Vĩ Văn,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Ca sĩ",,Việt Nam,ethnicity,2000nay,"1,75m",,,,
Mai Tài Phến,Mai Tài Phến,birth_date,"Bạc Liêu, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2017–nay,,,,,
Huỳnh Đông,Huỳnh Đông,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2004 &ndash; nay,,Ái Châu (2015),1,,
Hồng Ánh,Hồng Ánh,birth_date,"Trà Vinh, Việt Nam (nay là tỉnh Vĩnh Long)",Diễn viên,,Việt Nam,ethnicity,1995–nay,,Nguyễn Thanh Sơn (2009),,,
Phương Anh Đào,Phương Anh Đào,birth_date,"Cà Mau,name=cm Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2014–nay,,,,,
Hồng Đào (diễn viên),Hồng Đào (diễn viên),birth_date,"Buôn Ma Thuột, Đắk Lắk, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,1981nay,,Quang Minh (1995),2,,
