person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Đài Truyền hình Việt Nam,Đài Truyền hình Việt Nam,birth_date,,,,,ethnicity,,,,,,
Taekwondo,Taekwondo,birth_date,,,,,ethnicity,,,,,,
Quang Thắng,Quang Thắng,birth_date,"Hải Phòng, Việt Nam Dân chủ Cộng hòa","Diễn viên, Nghệ sĩ hài",Trường Đại học Sân khấu và Điện ảnh Hà Nội,Việt Nam,ethnicity,,,Cao Thanh Hải (2002),3,,
Trung Anh,Trung Anh,birth_date,"Đức Thọ, Hà Tĩnh, Việt Nam Dân chủ Cộng hòa","Kịch sĩ, Tài tử điện ảnh và truyền hình, Nghệ sĩ chuyển âm",,Việt Nam,ethnicity,1995 – nay,,,2,,
Đồng Ánh Quỳnh,Đồng Ánh Quỳnh,birth_date,,,,,ethnicity,,,,,,
Tóc Tiên (ca sĩ),Tóc Tiên (ca sĩ),birth_date,"Thành phố Hồ Chí Minh, Việt Nam",* Ca sĩ * Vũ công * Diễn viên,,Việt Nam,ethnicity,1996–nay,,Hoàng Touliver (2020),,,
Rima Thanh Vy,Rima Thanh Vy,birth_date,,,,,ethnicity,,,,,,
Thuận Nguyễn,Thuận Nguyễn,birth_date,,,,,ethnicity,,,,,,
Gi A Nguyễn,Gi A Nguyễn,birth_date,,,,,ethnicity,,,,,,
Phan Thanh Hiền,Phan Thanh Hiền,birth_date,,,,,ethnicity,,,,,,
Thanh Mai (MC),Thanh Mai (MC),birth_date,,,,,ethnicity,,,,,,
Lê Công Tuấn Anh,Lê Công Tuấn Anh,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1985 – 1996,,,,,
Lê Tuấn Anh (diễn viên sinh 1968),Lê Tuấn Anh (diễn viên sinh 1968),birth_date,,,,,ethnicity,,,,,,
Thanh Vy,Thanh Vy,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hoà","Diễn viên sân khấu, Diễn viên truyền hình, Diễn viên điện ảnh",,Việt Nam,ethnicity,,,Hùng Tấn (1971 - nay),Thanh Lâm,"Thanh Dậu (chị gái), Trần Hồng, Văn Hai, Văn Môn (em trai)",
Vân Sơn (nghệ sĩ hài),Vân Sơn (nghệ sĩ hài),birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài, Ca sĩ",,Hoa Kỳ,ethnicity,1977 - nay,,,,,
Bảo Liêm,Bảo Liêm,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài",,Hoa Kỳ,ethnicity,1990 - nay,,"Hồng Hạnh (vợ đâu), Bảo Vy (vợ thứ 2)",,,
Quang Minh (diễn viên),Quang Minh (diễn viên),birth_date,"Gò Công, Tiền Giang, Việt Nam Cộng hòa",Diễn viên,,"Hoa Kỳ, Việt Nam",ethnicity,1985nay,,Hồng Đào (1995),3,,
Văn Chung (kịch sĩ),Văn Chung (kịch sĩ),birth_date,"Chợ Lớn, Liên bang Đông Dương","Nghệ sĩ cải lương, Nghệ sĩ hài, Diễn viên điện ảnh",,,ethnicity,1948 – 2018,,"Thanh Hương (vợ đầu), Phương Lan (vợ sau)",,,
Mạc Can,Mạc Can,birth_date,,,,,ethnicity,,,,,,
Go Kyung-pyo,Go Kyung-pyo,birth_date,"Incheon, Hàn Quốc",Diễn viên,Đại học Konkuk - Phim,,ethnicity,,"6'2""",,,,
Lâm Vỹ Dạ,Lâm Vỹ Dạ,birth_date,"Huế, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,,,Hứa Minh Đạt (2010),2,,
Nguyễn Thúc Thùy Tiên,Nguyễn Thúc Thùy Tiên,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Người mẫu, Nhân vật truyền hình","* Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh * Trường Đại học Hoa Sen",Việt Nam,ethnicity,2017–2025Ngưng hoạt động do bị bắt giam.,"1,72m",,,,
Quyền Linh,Quyền Linh,birth_date,,"Diễn viên hài, Diễn viên điện ảnh, Diễn viên kịch nói, Người dẫn chương trình",,Việt Nam,ethnicity,,,,,,
David Phạm,David Phạm,birth_date,,,,,ethnicity,,,,,,
Don Nguyễn,Don Nguyễn,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2002–nay,,,,,
Văn Hiệp,Văn Hiệp,birth_date,,Diễn viên,,Việt Nam,ethnicity,,,Văn Thị Kim Dung,,,
Nhã Phương (diễn viên),Nhã Phương (diễn viên),birth_date,"Đắk Lắk, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2009–nay,"1,57m",Trường Giang (2018),2,,
Ngọc Quyên,Ngọc Quyên,birth_date,,,,,ethnicity,,,,,,
Huỳnh Anh Tuấn,Huỳnh Anh Tuấn,birth_date,"Vĩnh Long, Việt Nam","Diễn viên, Doanh nhân",Đại học Nghệ thuật và Thiết kế Minneapolis,Việt Nam,ethnicity,1989 – nay,,,,,
Tuấn Cường,Tuấn Cường,birth_date,,,,,ethnicity,,,,,,
Kathleen Lương,Kathleen Lương,birth_date,,,,,ethnicity,,,,,,
Kathy Uyên,Kathy Uyên,birth_date,,,,,ethnicity,,,,,,
Bình Minh (người mẫu),Bình Minh (người mẫu),birth_date,"Lạng Sơn, Việt Nam","Người mẫu, Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,2001 – nay,"1,85m",Anh Thơ (2008),2,,
Huy Khánh,Huy Khánh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người dẫn chương trình",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2000nay,,* Lương Hoàng Anh (2005) * Mạc Anh Thư (2012),2,,
Đinh Ngọc Diệp,Đinh Ngọc Diệp,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Người dẫn chương trình, Nhà báo, Nhà sản xuất điện ảnh","Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Việt Nam,ethnicity,2006–nay,,Victor Vũ (2016),2,,
Tăng Bảo Quyên,Tăng Bảo Quyên,birth_date,,,,,ethnicity,,,,,,
Mai Sơn Lâm,Mai Sơn Lâm,birth_date,,,,,ethnicity,,,,,,
Mạc Anh Thư,Mạc Anh Thư,birth_date,,,,,ethnicity,,,,,,
Tấn Thi,Tấn Thi,birth_date,,,,,ethnicity,,,,,,
Vũ Thu Phương,Vũ Thu Phương,birth_date,,,,,ethnicity,,,,,,
Đại Nghĩa (diễn viên),Đại Nghĩa (diễn viên),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,,,,,,
Ngân Khánh,Ngân Khánh,birth_date,"Quy Nhơn, Bình Định, Việt Nam","Diễn viên, Ca sĩ, Người mẫu",,Việt Nam,ethnicity,2005nay,,Đỗ Thiếu Quân (2015),,,
Vân Trang,Vân Trang,birth_date,"Tiền Giang, Việt Nam","Diễn viên, Người dẫn chương trình",Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2007nay,,Lê Hữu Quân (2016),4,,
Võ Thanh Hòa,Võ Thanh Hòa,birth_date,"Vĩnh Long, Việt Nam","Nhà sản xuất phim, Đạo diễn",Trường Cao đẳng Nghệ thuật Lasalle,Việt Nam,ethnicity,1999–nay,,Mai Bảo Ngọc,1,,
Đinh Tiến Đạt,Đinh Tiến Đạt,birth_date,,,,,ethnicity,,,,,,
Minh Thuận (ca sĩ),Minh Thuận (ca sĩ),birth_date,,,,,ethnicity,,,,,,
Midu,Midu,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu",Trường Đại học Kiến trúc Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2007 – nay,"1,60m",Trần Duy Minh Đạt (2024),,,
Nguyễn Thị Anh,Nguyễn Thị Anh,birth_date,"Bố Vệ, Thanh Hóa",,,,ethnicity,,,,Lê Bang Cơ,,
Kim Hiền (diễn viên),Kim Hiền (diễn viên),birth_date,,,,,ethnicity,,,,,,
Maya (ca sĩ),Maya (ca sĩ),birth_date,,,,,ethnicity,,,,,,
Dương Hoàng Anh,Dương Hoàng Anh,birth_date,"Hà Nội, Việt Nam","Diễn viên, Người mẫu",,Việt Nam,ethnicity,2001 – nay,"1,84m",,2,,
Dương Khắc Linh,Dương Khắc Linh,birth_date,"Manila, Philippines","Nhạc sĩ, Nhà sản xuất thu âm",,Việt Nam,ethnicity,2006–nay,,"Lydia Groeneweg (2006), Sara Lưu (2019)",2,,
Hoàng Bách,Hoàng Bách,birth_date,"Nam Định, Việt Nam","Ca sĩ, Nhạc sĩ sáng tác ca khúc, Nhà sản xuất âm nhạc",,Việt Nam,ethnicity,2001 – nay,,,,,
Quý Bình,Quý Bình,birth_date,"Đông Thạnh, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, ca sĩ, dẫn chương trình",,Việt Nam,ethnicity,2007–2025,,Ngọc Tiền (2020),1,,
Tú Vi,Tú Vi,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Ca sĩ, MC",,Việt Nam,ethnicity,2007nay,160cm,Lê Văn Anh (2015),1,,
Văn Tùng,Văn Tùng,birth_date,"Tỉnh Pleiku, Việt Nam","Diễn viên, Vệ sĩ",,,ethnicity,2004 – nay,,(Đã kết hôn),2,,
Khánh Hiền,Khánh Hiền,birth_date,,"Diễn viên, Người mẫu, Nhà hoạt động từ thiện",,Việt Nam,ethnicity,2010 – nay,,,,,
Trần Nghĩa (diễn viên),Trần Nghĩa (diễn viên),birth_date,"Chương Mỹ, Hà Nội, Việt Nam",Diễn viên,"*Trường Đại học Kinh tế, Đại học Quốc gia Hà Nội *Trường Đại học Sân khấu - Điện ảnh Hà Nội",,ethnicity,,,,,,
Trúc Anh,Trúc Anh,birth_date,,"Diễn viên, Người mẫu ảnh",,,ethnicity,,,,,,
Khánh Huyền,Khánh Huyền,birth_date,,Diễn viên,,,ethnicity,,,,,,
Thanh Hiền,Thanh Hiền,birth_date,,Diễn viên,,Việt Nam,ethnicity,,,,,,
Cao Thái Hà,Cao Thái Hà,birth_date,"Cần Thơ, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2011–nay,"1,7m",,,,
Maryline Tâm Võ,Maryline Tâm Võ,birth_date,,,,,ethnicity,,,,,,
Leon Lê,Leon Lê,birth_date,,,,,ethnicity,,,,,,
Trần Trung Lĩnh,Trần Trung Lĩnh,birth_date,,,,,ethnicity,,,,,,
Trương Thế Vinh,Trương Thế Vinh,birth_date,"Đà Nẵng, Việt Nam","Ca sĩ, Diễn viên, Người mẫu, Người dẫn chương trình",,Việt Nam,ethnicity,2001nay,"1,81m",,,,
Dominic Pereira,Dominic Pereira,birth_date,Malaysia,"Đạo diễn hình ảnh, Đạo diễn ánh sáng",,,ethnicity,1995 - nay,,,,,
Quách Ngọc Ngoan,Quách Ngọc Ngoan,birth_date,"Cà Mau, Việt Nam","Diễn viên, Người mẫu",*Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2008 – nay,,,,,
Thanh Thủy (diễn viên),Thanh Thủy (diễn viên),birth_date,,,,,ethnicity,,,,,,
Minh Đức (diễn viên),Minh Đức (diễn viên),birth_date,"Hoài Đức, Hà Tây, Liên bang Đông Dương",Diễn viên điện ảnh,,Việt Nam,ethnicity,1962 &ndash; nay,,,,,
Hữu Luân,Hữu Luân,birth_date,,,,,ethnicity,,,,,,
Hồ Kiểng,Hồ Kiểng,birth_date,,"Diễn viên điện ảnh, Diễn viên truyền hình, Nhà văn, Họa sĩ",,,ethnicity,1959 – 2012,,,,,
Quang Sự,Quang Sự,birth_date,"Hoằng Hóa, Thanh Hóa",Diễn viên,,,ethnicity,2007 - nay,,,,,
Petey Majik Nguyễn,Petey Majik Nguyễn,birth_date,,,,,ethnicity,,,,,,
Châu Bùi,Châu Bùi,birth_date,"Hà Nội, Việt Nam","Fashionista, Người mẫu, Diễn viên, Ca sĩ",Trường Đại học Thương mại,,ethnicity,2015&ndash;nay,"1,58m",,,Linh Bùi (chị em gái),
Aaron Toronto,Aaron Toronto,birth_date,"Texas, Hoa Kỳ","Đạo diễn, biên kịch, nhà sản xuất","Đại học Nam California, Đại học Brigham Young, Đại học KHXN&NV",,ethnicity,2002 – nay,,,,,
Diễn viên Chí Tâm,Diễn viên Chí Tâm,birth_date,,,,,ethnicity,,,,,,
Mỹ Duyên,Mỹ Duyên,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,"Viện hàn lâm Vaganova, Saint Petersburg",Việt Nam,ethnicity,1990nay,,,,,
Đức Thịnh (đạo diễn),Đức Thịnh (đạo diễn),birth_date,"Sài Gòn – Gia Định, Cộng hòa miền Nam Việt Nam","Diễn viên, Doanh nhân, Nhà làm phim",,Việt Nam,ethnicity,2002–nay,,Lê Thị Thanh Thúy (2008),2,,Danh sách
Lê Thiện (nghệ sĩ),Lê Thiện (nghệ sĩ),birth_date,,Diễn viên sân khấu,,Việt Nam,ethnicity,,,,,,
không tặc,không tặc,birth_date,,,,,ethnicity,,,,,,
tâm lý,tâm lý,birth_date,,,,,ethnicity,,,,,,
Ái Phương,Ái Phương,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên, Người mẫu",Trường Đại học Mở Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2009nay,"1,72m",,,,
Hoàng Yến Chibi,Hoàng Yến Chibi,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Diễn viên, Người dẫn chương trình",Đại học Văn hóa Hà Nội,Việt Nam,ethnicity,2010–nay,,,,,
Anh Thư,Anh Thư,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",* Người mẫu * Diễn viên,THPT Nguyễn Hiền,,ethnicity,1999 – nay,,Trần Thanh Long (2004),"Trần Minh Khoa, (sinh 2007)",,
Vai diễn khách mời,Vai diễn khách mời,birth_date,,,,,ethnicity,,,,,,
Thanh Hằng,Thanh Hằng,birth_date,,,,,ethnicity,,,,,,
Mỹ Uyên,Mỹ Uyên,birth_date,,,,,ethnicity,,,,,,
Lan Hương (diễn viên sinh 1961),Lan Hương (diễn viên sinh 1961),birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1983nay,,Đỗ Kỷ (1988),2,,
Đức Khuê,Đức Khuê,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên kịch nói, Diễn viên truyền hình, Diễn viên điện ảnh",,Việt Nam,ethnicity,1994 – nay,,,,,
Hoàng Hải (diễn viên),Hoàng Hải (diễn viên),birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,,ethnicity,,,,,,
Hồng Đăng (diễn viên),Hồng Đăng (diễn viên),birth_date,,Diễn viên,,Việt Nam,ethnicity,2004 – nay,,,,,
Đan Trường,Đan Trường,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,,ethnicity,1997 – nay,,Thủy Tiên (2013),1,,
Chi Bảo,Chi Bảo,birth_date,,,,,ethnicity,,,,,,
Thanh Thảo (ca sĩ),Thanh Thảo (ca sĩ),birth_date,,,,,ethnicity,,,,,,
Cát Phượng,Cát Phượng,birth_date,"Sa Đéc, Đồng Tháp, Việt Nam Cộng hòa","Diễn viên, Ca sĩ, Nghệ sĩ hài",,Việt Nam,ethnicity,1993 – nay,,Thái Hòa (2004),1,,
Marilyn Monroe,Marilyn Monroe,birth_date,"Los Angeles, California, Hoa Kỳ","Diễn viên, Người mẫu, Ca sĩ",,,ethnicity,1945–1962,,"James Dougherty (1942), Joe DiMaggio (1954), Arthur Miller (1956)",,Berniece Baker Miracle (chị cùng mẹ khác cha),
Michael Jackson,Michael Jackson,birth_date,,,,,ethnicity,,,,,,
Khánh Nam (diễn viên),Khánh Nam (diễn viên),birth_date,,,,,ethnicity,,,,,,
Charlie Chaplin,Charlie Chaplin,birth_date,,,,,ethnicity,,,,,,
Minh Béo,Minh Béo,birth_date,"Tiền Giang, Việt Nam","Diễn viên, Người dẫn chương trình, Đạo diễn",,Việt Nam,ethnicity,,,,,,
Hữu Lộc,Hữu Lộc,birth_date,"Sài Gòn, Việt Nam Cộng hoà","Nghệ sĩ hài, Đạo diễn sân khấu, Diễn viên điện ảnh",,Việt Nam,ethnicity,,,,,,
đỏ,đỏ,birth_date,,,,,ethnicity,,,,,,
Da cam,Da cam,birth_date,,,,,ethnicity,,,,,,
Phương Thanh,Phương Thanh,birth_date,"Nông Cống, Thanh Hóa, Việt Nam Dân chủ Cộng hòa","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,1990–nay,,,1,,
Hương Giang (diễn viên),Hương Giang (diễn viên),birth_date,"Sài Gòn, Việt Nam Cộng hòa","Người mẫu, Người dẫn chương trình, Diễn viên",,,ethnicity,,,,"Phạm Công Bảo Duy, (sinh năm 2000)",,
Vĩnh Thụy (diễn viên),Vĩnh Thụy (diễn viên),birth_date,,,,,ethnicity,,,,,,
Thủy Tiên (ca sĩ),Thủy Tiên (ca sĩ),birth_date,"Rạch Giá, Kiên Giang, Việt Nam","Ca sĩ kiêm sáng tác nhạc, Diễn viên, Người mẫu, Nhà thiện nguyện",,Việt Nam,ethnicity,,,Lê Công Vinh (2014),1,,
Trinh Hoan,Trinh Hoan,birth_date,"Quảng Trị, Việt Nam Cộng hòa","Nhà quay phim, Nhà sản xuất điện ảnh",,,ethnicity,1989–nay,,Nguyễn Nữ Như Khuê (1992),4,"Nguyễn Vinh Sơn ((anh trai)), Nguyễn Minh Cao ((em út))",Danh sách
Lê Hóa,Lê Hóa,birth_date,,,,,ethnicity,,,,,,
Lê Quốc Nam,Lê Quốc Nam,birth_date,,,,,ethnicity,,,,,,
Nguyễn Quang Dũng (đạo diễn),Nguyễn Quang Dũng (đạo diễn),birth_date,,,,,ethnicity,,,,,,
DJ,DJ,birth_date,,,,,ethnicity,,,,,,
Wanbi Tuấn Anh,Wanbi Tuấn Anh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên, Vũ công, Người mẫu",,Việt Nam,ethnicity,2008 – 2012,,,,,
Trương Quỳnh Anh,Trương Quỳnh Anh,birth_date,"Nha Trang, Khánh Hòa, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2006–nay,"1,68m",Tim (2012),1,,
Elly Trần,Elly Trần,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu",,"Việt Nam, Hoa Kỳ",ethnicity,2008–nay,,Dane Fort (2011),2,,
Tim (ca sĩ),Tim (ca sĩ),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2006–nay,,Trương Quỳnh Anh (2012),1,,
Hiền Mai,Hiền Mai,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên, Người mẫu",,Việt Nam,ethnicity,1987 – nay,,Nguyễn Hoàng Minh (2003),1,,
Nhật Cường,Nhật Cường,birth_date,"Nha Trang, Khánh Hòa, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài, Nhà làm phim",,Việt Nam,ethnicity,,,,,,
Ngọc Oanh,Ngọc Oanh,birth_date,,,,,ethnicity,,,,,,
Long Đẹp Trai,Long Đẹp Trai,birth_date,,,,,ethnicity,,,,,,
Linh Trung (diễn viên),Linh Trung (diễn viên),birth_date,,,,,ethnicity,,,,,,
Bạch Long (nghệ sĩ cải lương,Bạch Long (nghệ sĩ cải lương,birth_date,,,,,ethnicity,,,,,,
Ba Luân,Ba Luân,birth_date,,,,,ethnicity,,,,,,
Dung Nhon,Dung Nhon,birth_date,,,,,ethnicity,,,,,,
Hải Triều (diễn viên),Hải Triều (diễn viên),birth_date,,,,,ethnicity,,,,,,
Chiến,Chiến,birth_date,,,,,ethnicity,,,,,,
Bá Nhân,Bá Nhân,birth_date,,,,,ethnicity,,,,,,
Thanh Khang,Thanh Khang,birth_date,,,,,ethnicity,,,,,,
Thiên Thủy (diễn viên),Thiên Thủy (diễn viên),birth_date,,,,,ethnicity,,,,,,
Thành Nam (diễn viên),Thành Nam (diễn viên),birth_date,,,,,ethnicity,,,,,,
Tân Trực,Tân Trực,birth_date,,,,,ethnicity,,,,,,
Quang Khang,Quang Khang,birth_date,,,,,ethnicity,,,,,,
Thanh Tâm (diễn viên),Thanh Tâm (diễn viên),birth_date,,,,,ethnicity,,,,,,
Thành Tài,Thành Tài,birth_date,,,,,ethnicity,,,,,,
Bé Vỹ,Bé Vỹ,birth_date,,,,,ethnicity,,,,,,
Tùng Linh,Tùng Linh,birth_date,,,,,ethnicity,,,,,,
Phi Điểu,Phi Điểu,birth_date,"Campuchia, Liên bang Đông Dương","Phát thanh viên, Diễn viên",,Việt Nam,ethnicity,2000 – nay,,,,,
Công Huy,Công Huy,birth_date,,,,,ethnicity,,,,,,
Long Ho,Long Ho,birth_date,,,,,ethnicity,,,,,,
Cát Trắng,Cát Trắng,birth_date,,,,,ethnicity,,,,,,
Trịnh Kim Chi,Trịnh Kim Chi,birth_date,,,,,ethnicity,,,,,,
Lương Thế Thành,Lương Thế Thành,birth_date,"Cai Lậy, Tiền Giang, Việt Nam",Diễn viên,*Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2005 – nay,,,,,
Phi Nhung,Phi Nhung,birth_date,"Pleiku, Gia Lai, Việt Nam Cộng hòa","Ca sĩ, Diễn viên, Nhà hoạt động xã hội",,"Việt Nam, Hoa Kỳ",ethnicity,1993–2021,,,1,,
Phạm Văn Mách,Phạm Văn Mách,birth_date,,,,,ethnicity,,,,,,
Việt Hương,Việt Hương,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",,Việt Nam,ethnicity,1995 – nay,"1,51m",* Nguyễn Quang Minh (1999) * Nguyễn Hoài Phương (2006),1,,
Minh Thảo,Minh Thảo,birth_date,,,,,ethnicity,,,,,,
Bảo Anh (ca sĩ),Bảo Anh (ca sĩ),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2012–nay,,,1,,
Miu Lê,Miu Lê,birth_date,"Ninh Thuận, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2009–nay,,,,,
Hà Trí Quang,Hà Trí Quang,birth_date,"Bà Rịa – Vũng Tàu, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2007 – nay,,,,,
Minh Luân,Minh Luân,birth_date,"Đồng Tháp, Việt Nam","Diễn viên, Ca sĩ",,Việt Nam,ethnicity,2008nay,,,,,
Quốc Trường (diễn viên),Quốc Trường (diễn viên),birth_date,"Cần Thơ, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2009nay,"1,81m",,,,
Cát Tường (diễn viên),Cát Tường (diễn viên),birth_date,"Thừa Thiên Huế, Việt Nam","Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,,,,1,,
Thanh Bạch,Thanh Bạch,birth_date,,,,,ethnicity,,,,,,
Quốc Thuận,Quốc Thuận,birth_date,,,,,ethnicity,,,,,,
Hứa Minh Đạt,Hứa Minh Đạt,birth_date,,,,,ethnicity,,,,,,
Quách Ngọc Tuyên,Quách Ngọc Tuyên,birth_date,,,,,ethnicity,,,,,,
Nam Thư,Nam Thư,birth_date,,,,,ethnicity,,,,,,
Thanh Trúc,Thanh Trúc,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2001 – nay,,Châu Khải Phong,1,,
Trường Giang (nghệ sĩ),Trường Giang (nghệ sĩ),birth_date,"Long Thành, Đồng Nai, Việt Nam","Diễn viên, Nghệ sĩ hài, Nhạc sĩ, Người dẫn chương trình",,Việt Nam,ethnicity,2007nay,"1,60m",Nhã Phương (2018),2,,
Tiến Luật,Tiến Luật,birth_date,,,,,ethnicity,,,,,,
Hoài Lâm,Hoài Lâm,birth_date,,,,,ethnicity,,,,,,
Nguyễn Phi Hùng (ca sĩ),Nguyễn Phi Hùng (ca sĩ),birth_date,"Đan Phượng, Hà Nội, Việt Nam","Ca sĩ, Diễn viên, Vũ công",,,ethnicity,2003 – 2017,,,,,
Hồng Nga,Hồng Nga,birth_date,"Sài Gòn, Liên bang Đông Dương","Nghệ sĩ cải lương, Diễn viên hài",,Việt Nam Việt Nam,ethnicity,1960-nay,,Soạn giả Mộc Linh,"2 (1 trai, 1 gái)",,
Trương Ngọc Ánh,Trương Ngọc Ánh,birth_date,,,,,ethnicity,,,,,,
Bảo Chung,Bảo Chung,birth_date,,"Diễn viên hài, Diễn viên điện ảnh, Nghệ sĩ cải lương (trước kia)",,,ethnicity,,,,,,
Thúy Nga (nghệ sĩ),Thúy Nga (nghệ sĩ),birth_date,"Nha Trang, Khánh Hòa, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",,Việt Nam,ethnicity,1995 – nay,,Nguyễn Văn Nam (2010),1,,
Hữu Nghĩa,Hữu Nghĩa,birth_date,,,,,ethnicity,,,,,,
Kim Khánh (diễn viên),Kim Khánh (diễn viên),birth_date,,"Diễn viên truyền hình, Diễn viên điện ảnh, Người mẫu, Ca sĩ",,,ethnicity,,,,,,
quần vợt,quần vợt,birth_date,,,,,ethnicity,,,,,,
Anh Vũ (nghệ sĩ),Anh Vũ (nghệ sĩ),birth_date,,"Diễn viên, Người dẫn chương trình, ca sĩ hát nhạc hài",,Việt Nam,ethnicity,,,,,,
gà,gà,birth_date,,,,,ethnicity,,,,,,
Hồng Tơ,Hồng Tơ,birth_date,"Mỹ Tho, Việt Nam Cộng hòa","Diễn viên hài, Diễn viên điện ảnh, Nghệ sĩ cải lương (trước kia)",,,ethnicity,Những năm 1990 - nay,,Kim Loan (2012 - nay),,,
Lý Hùng,Lý Hùng,birth_date,,"Diễn viên, Ca sĩ, MC",,Việt Nam,ethnicity,1981 - nay,,,,,
Nguyễn Huệ,Nguyễn Huệ,birth_date,"Bình Định, Đàng Trong, Đại Việt",,,,ethnicity,,,,* Nguyễn Quang Toản * Nguyễn Thị Ngọc Bảo * Nguyễn Quang Thùy * và một số người khác.,,
Thùy Lâm,Thùy Lâm,birth_date,,,,,ethnicity,,,,,,
Vĩnh Thuyên Kim,Vĩnh Thuyên Kim,birth_date,"Cà Mau, Việt Nam",Ca sĩ,,Việt Nam,ethnicity,,,,,,
Nikki Dương Nhật Vi,Nikki Dương Nhật Vi,birth_date,,,,,ethnicity,,,,,,
Kiều Oanh,Kiều Oanh,birth_date,"An Phú, An Giang, Việt Nam Cộng hòa","Diễn viên hài, Diễn viên điện ảnh, Diễn viên kịch, Nghệ sĩ cải lương (trước kia)",,Việt Nam,ethnicity,1995 - nay,,"T. (2003 – 2005), Lê Huỳnh (2006 – 2013), Hoàng Nhất (2013 – nay)",2,,
Lê Huỳnh,Lê Huỳnh,birth_date,,,,,ethnicity,,,,,,
Tommy Ngô,Tommy Ngô,birth_date,,,,,ethnicity,,,,,,
Lynda Trang Đài,Lynda Trang Đài,birth_date,"Huế, Việt Nam Cộng hòa",Ca sĩ,,Hoa Kỳ,ethnicity,,,,,,
