source,target,film_count,films,collaboration_types,weight
Trấn Thành,Uyển Ân,3,"Nhà bà Nữ, Mai (phim), Bộ tứ báo thủ",director-actor,3.3
Trấn Thành,Lê Giang,2,"Nhà bà Nữ, Bộ tứ báo thủ",actor-director,2.0
Trấn Thành,Song Luân,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Khả Như,3,"Nhà bà Nữ, Cua lại vợ bầu, Mai (phim)","actor-actor, actor-director",3.0
Trấn Thành,Ngọc Giàu,4,"Nhà bà Nữ, Bố già (phim 2021), Mai (phim), Bộ tứ báo thủ",actor-director,4.0
Trấn Thành,Quỳnh Lý,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Phương Lan,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Lê Dương Bảo Lâm,2,"Nhà bà Nữ, Bộ tứ báo thủ",actor-director,2.5
Trấn Thành,Công Ninh,3,"Nhà bà Nữ, Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu","actor-actor, actor-director",3.0
Trấn Thành,Ngân Quỳnh,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Ngọc Lan (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lê Bê La,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyệt Ánh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Tú Vi,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Kha Ly,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hiền Trang,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lương Thế Thành,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hùng Thuận,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Hòa Hiệp (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Đình Hiếu,2,"Cổng mặt trời (phim truyền hình), Gia sư nữ quái",actor-actor,2.3
Trấn Thành,Nguyễn Lê Bá Thắng,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Ánh Hoa,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Kim Phương,2,"Cổng mặt trời (phim truyền hình), Mai (phim)","actor-actor, actor-director",2.0
Trấn Thành,Huỳnh Anh Tuấn,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Kinh Quốc,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Văn Ruy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Phùng Ngọc Huy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Mai Phương (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Quang Thảo,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thiên Kim (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Phi Điểu,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hoàng Lan (nghệ sĩ),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hải Lý,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Bảo Giang,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hữu Thạch,3,"Cổng mặt trời (phim truyền hình), Công chúa teen và ngũ hổ tướng, Cua lại vợ bầu",actor-actor,3.0
Trấn Thành,Huy Cường,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Quách Khoa Nam,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyễn Sanh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bích Hằng,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Huỳnh Ngân,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thủy Cúc,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lâm Hải Sơn,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Kim Phượng,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Hoài An,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thái Quốc Nguyên,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Huỳnh Ngọc Lan (Lan Mập),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Anh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thảo Ly,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bảo Khương,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thành Bỉ,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Minh Cường,2,"Cổng mặt trời (phim truyền hình), Gia sư nữ quái",actor-actor,2.0
Trấn Thành,Thanh Long Trẻ,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Thy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bảo Tâm,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Hạnh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyễn Dương,1,Cổng mặt trời (phim truyền hình),director-actor,1.0
Trấn Thành,Khương Ngọc,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Thanh Trúc,1,Chuyện tình mùa thu,actor-actor,1.3
Trấn Thành,Kim Xuân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Trọng Nhân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Diệu Đức,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Mã Trung,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Quốc Hùng,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lục Diệp,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lập Xuân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lộc Uyển,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Quách Hữu Lộc,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Bảo Thy,2,"Công chúa teen và ngũ hổ tướng, Gia sư nữ quái",actor-actor,2.3
Trấn Thành,Yến Trang,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Hoài Linh,2,"Công chúa teen và ngũ hổ tướng, Gia sư nữ quái",actor-actor,2.0
Trấn Thành,Tấn Beo,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Chí Tài,2,"Công chúa teen và ngũ hổ tướng, Gia sư nữ quái",actor-actor,2.0
Trấn Thành,Mạnh Tràng,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Hiếu Hiền,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Khổng Tú Quỳnh,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Kim Thư,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Ưng Hoàng Phúc,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Đông Nhi,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Noo Phước Thịnh,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Ngô Kiến Huy,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
Trấn Thành,Phước Sang,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Tuyết Thu,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Bảo Quốc,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Khánh Nam,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Cát Phượng,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Mai Thanh Dung,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Tuyền Mập,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Bé Hòa Bình,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Phi Phụng,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Phương Trinh Jolie,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Kelly Nguyễn,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Vương Khang,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Tam Thanh,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Tấn Bo,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Tấn Hoàng,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Thành Nam,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Thành Chiến,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Bảo Trí,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Lê Kim Long,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Kiều Lan,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Hứa Minh Đạt,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Đại Ngọc Trâm,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Huỳnh Mến,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Minh Dũng,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Trần Thanh Hoa,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Dương Cẩm Lynh,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Lê Hoàng D1,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thanh Ngọc,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thu Thảo,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Ngọc Anh,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Nguyên Lộc,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Minh Hà,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Anh Đức,2,"Gia sư nữ quái, Mai (phim)","actor-actor, actor-director",2.0
Trấn Thành,Kim Dung,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Bảo My,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hoàng Chiến,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Minh Hy,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,D1 Team,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Tony Vinh Hiển,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Trung Hiệp,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hữu Nghiệp,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Lê Minh Thắng,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Lê Minh Trí,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Lý Duy Phong,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Phùng Nhựt Tân,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hồ Cát Trắng,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Sơn Master,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Châu Xuân Dưỡng,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Diệp Quốc Tuấn,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hồ Hiếu,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Lê Bảo Long,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Phù Lợi,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hoàng Dung,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Chí Thành,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Phi Hùng,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Anh Tuấn,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Duy Lực,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thành Long,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Nguyễn Minh Giang,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Trúc Như,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thanh Bình,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Minh Đài,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Hoàng Phong Vỹ,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thế Minh,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Minh Huy,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Chiến Công,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thành Công,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Tôt Ty,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Quang Trường,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Kim Ngân,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thiên Ngân,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Ngọc Loan,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Tuyết Loan,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Đinh Thủy,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Ngọc Hương,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Mỹ Vân,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thu Hiền,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Mỹ Huyền,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Nguyễn Thị Tuyết,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thùy An,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Như Ý,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Nhóm Number One,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Ninh Dương Lan Ngọc,1,Cua lại vợ bầu,actor-actor,1.8
Trấn Thành,Anh Tú sinh 1993,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Mạc Văn Khoa,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Hữu Châu,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Quang Minh - Hồng Đào,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Trung Dân,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Hari Won,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Thuận Hoàng,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Hoàng Thanh Mai,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Thùy Dương,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Thanh Tân,1,Cua lại vợ bầu,actor-actor,1.0
Trấn Thành,Tuấn Trần,2,"Bố già (phim 2021), Mai (phim)",director-actor,2.3
Trấn Thành,Ngân Chi,1,Bố già (phim 2021),actor-director,1.3
Trấn Thành,Hoàng Mèo,3,"Bố già (phim 2021), Mai (phim), Bộ tứ báo thủ",actor-director,3.0
Trấn Thành,Lan Phương,1,Bố già (phim 2021),actor-director,1.0
Trấn Thành,La Thành,1,Bố già (phim 2021),actor-director,1.0
Trấn Thành,Nguyễn Thành Phát,1,Bố già (phim 2021),actor-director,1.0
Trấn Thành,Lê Trang,1,Bố già (phim 2021),actor-director,1.0
Trấn Thành,Nguyễn Minh Tú,1,Bố già (phim 2021),actor-director,1.3
Trấn Thành,Vũ Ngọc Đãng,1,Bố già (phim 2021),director-director,1.0
Trấn Thành,Phương Anh Đào,1,Mai (phim),actor-director,1.5
Trấn Thành,Sầu Anh Thư,1,Mai (phim),actor-director,1.0
Trấn Thành,Anh Phạm,1,Mai (phim),actor-director,1.0
Trấn Thành,Trần Tiểu Vy,2,"Mai (phim), Bộ tứ báo thủ",director-actor,2.0
Trấn Thành,Vũ Quốc Khánh,1,Mai (phim),director-actor,1.0
Trấn Thành,Lý Hạo Mạnh Quỳnh Quỳnh Lý,1,Mai (phim),actor-director,1.0
Trấn Thành,Thanh Hằng nghệ sĩ cải lương,1,Mai (phim),actor-director,1.0
Trấn Thành,Kiều Linh,1,Mai (phim),actor-director,1.0
Trấn Thành,Ngọc Nga,1,Mai (phim),actor-director,1.0
Trấn Thành,Lộ Lộ,2,"Mai (phim), Bộ tứ báo thủ",actor-director,2.0
Trấn Thành,Ngọc Nguyễn,1,Mai (phim),actor-director,1.0
Trấn Thành,Lê Nam,2,"Mai (phim), Bộ tứ báo thủ",actor-director,2.0
Trấn Thành,Nguyễn Cao Kỳ Duyên người mẫu,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Trần Quốc Anh,1,Bộ tứ báo thủ,director-actor,1.0
Trấn Thành,Thái Công,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Huy Phan,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Hùng Huỳnh,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Quân AP,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Vinh Râu,1,Bộ tứ báo thủ,director-actor,1.0
Trấn Thành,Phạm Anh Duy,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Ali Hoàng Dương,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Chị Ca Nô,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Hải Vót,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Gia Linh,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Nhâm Phương Nam,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Bé Rio,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Võ Lan Hương,1,Bộ tứ báo thủ,director-actor,1.0
Trấn Thành,Thu Hoài,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Ngọc Hoa,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Năm Chà,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Trinh Hoan & Như Khuê,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Lệ Quyên ca sĩ sinh 1981,1,Bộ tứ báo thủ,actor-director,1.0
Trấn Thành,Kiều Minh Tuấn,0,,,0.3
Trấn Thành,Kaity Nguyễn,0,,,0.3
Trấn Thành,Huỳnh Đông,0,,,0.3
Trấn Thành,Minh Hằng,0,,,0.3
Trấn Thành,Bảo Anh,0,,,0.3
Trấn Thành,Don Nguyễn,0,,,0.3
Trấn Thành,Ngọc Diệp,0,,,0.3
Trấn Thành,Thu Trang,0,,,0.3
Trấn Thành,Võ Ngọc Trai,0,,,0.3
Trấn Thành,Jun Phạm,0,,,0.3
Trấn Thành,Diễm My 9x,0,,,0.3
Trấn Thành,Oanh Kiều,0,,,0.5
Trấn Thành,Nguyễn Thắng,0,,,0.3
Trấn Thành,Khả Ngân,0,,,0.3
Trấn Thành,Anh Thư,0,,,0.3
Trấn Thành,Lâm Vỹ Dạ,0,,,0.5
Trấn Thành,Nguyễn Thúc Thùy Tiên,0,,,0.3
Trấn Thành,Huy Khánh,0,,,0.8
Trấn Thành,Đinh Ngọc Diệp,0,,,0.3
Trấn Thành,Hứa Vĩ Văn,0,,,0.3
Trấn Thành,Ái Phương,0,,,0.3
Trấn Thành,Văn Phượng,0,,,0.5
Trấn Thành,Thúy Diễm,0,,,0.3
Trấn Thành,Đan Trường,0,,,0.3
Trấn Thành,Bạch Công Khanh,0,,,0.3
Trấn Thành,Angela Phương Trinh,0,,,0.3
Trấn Thành,Quỳnh Lam,0,,,0.5
Trấn Thành,Việt Hương,0,,,0.3
Trấn Thành,Hà Okio,0,,,0.3
Trấn Thành,Uyên Linh,0,,,0.3
Trấn Thành,Lý Nhã Kỳ,0,,,0.3
Trấn Thành,Đàm Phương Linh,0,,,0.3
Trấn Thành,Phương Hằng (diễn viên),0,,,0.3
Trấn Thành,Quang Tuấn,0,,,0.3
Trấn Thành,Yeye Nhật Hạ,0,,,0.8
Trấn Thành,Khánh Phương,0,,,0.3
Trấn Thành,Võ Thành Tâm,0,,,0.3
Trấn Thành,Đại Nghĩa (diễn viên),0,,,0.3
Trấn Thành,Kim Hiền (diễn viên),0,,,0.3
Trấn Thành,Mỹ Chi,0,,,0.3
Trấn Thành,Bằng Lăng,0,,,0.3
Trấn Thành,WanBi Tuấn Anh,0,,,0.3
Trấn Thành,Lương Bích Hữu,0,,,0.3
Trấn Thành,Elly Trần,0,,,0.3
Trấn Thành,Wanbi Tuấn Anh,0,,,0.3
Trấn Thành,Tường Vi (diễn viên),0,,,0.3
Trấn Thành,Chí Thiện (ca sĩ),0,,,0.3
Trấn Thành,Hồ Vĩnh Khoa,0,,,0.3
Trấn Thành,Thảo Trang,0,,,0.3
Trấn Thành,Lê Huỳnh Thúy Ngân,0,,,0.5
Trấn Thành,Nhã Phương (diễn viên),0,,,0.5
Trấn Thành,Rocker Nguyen,0,,,0.3
Trấn Thành,Lê Phương,0,,,0.5
Trấn Thành,Phương Mỹ Chi,0,,,0.3
Trấn Thành,Thanh Thúy (diễn viên sinh 1982),0,,,0.3
Trấn Thành,Quốc Huy (diễn viên),0,,,0.5
Trấn Thành,Kim Tuyến,0,,,0.3
Trấn Thành,Chí Thiện,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Isaac,1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Phương Bình (diễn viên),1,Công chúa teen và ngũ hổ tướng,actor-actor,1.0
Trấn Thành,Hoàng Sơn (diễn viên),1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thanh Phương (diễn viên),1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Thùy Trang (diễn viên),1,Gia sư nữ quái,actor-actor,1.0
Trấn Thành,Quốc Khánh (diễn viên),1,Bố già (phim 2021),actor-director,1.0
Ninh Dương Lan Ngọc,Johnny Trí Nguyễn,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Yaya Trương Nhi,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Ngọc Tưởng,2,"Tèo em, Trúng số (phim 2015)",actor-actor,2.0
Ninh Dương Lan Ngọc,Hữu Châu,3,"Tèo em, Cua lại vợ bầu, Tấm Cám: Chuyện chưa kể",actor-actor,3.0
Ninh Dương Lan Ngọc,Thân Thúy Hà,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Phương Trinh Jolie,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Ngọc Diệp,1,Tèo em,actor-actor,1.3
Ninh Dương Lan Ngọc,Mai Thế Hiệp,2,"Tèo em, Trúng số (phim 2015)",actor-actor,2.0
Ninh Dương Lan Ngọc,Nguyễn Hậu,2,"Tèo em, Long Ruồi",actor-actor,2.0
Ninh Dương Lan Ngọc,Hùng Cửu Long,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Tấn Hoàng,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Hồng Sáp,1,Tèo em,actor-actor,1.0
Ninh Dương Lan Ngọc,Tuyền Mập,2,"Tèo em, Trúng số (phim 2015)",actor-actor,2.0
Ninh Dương Lan Ngọc,Charlie Nguyễn,2,"Tèo em, Long Ruồi",director-actor,2.0
Ninh Dương Lan Ngọc,Anh Tú sinh 1993,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Mạc Văn Khoa,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Khả Như,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Quang Minh - Hồng Đào,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Trung Dân,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Hari Won,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Thuận Hoàng,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Hoàng Thanh Mai,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Thùy Dương,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Thanh Tân,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Hữu Thạch,1,Cua lại vợ bầu,actor-actor,1.0
Ninh Dương Lan Ngọc,Chi Bảo,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Huỳnh Đông,1,Nhân tình lạc lối,actor-actor,1.3
Ninh Dương Lan Ngọc,Đào Bá Sơn,2,"Nhân tình lạc lối, Nguyệt thực (phim truyền hình)",actor-actor,2.0
Ninh Dương Lan Ngọc,Phùng Ngọc Huy,1,Nhân tình lạc lối,actor-actor,1.3
Ninh Dương Lan Ngọc,Đồng Thanh Phong,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Tùng Haru,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Bá Trường,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Thanh Ngọc,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Hà Linh,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Tam Thanh,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Amy Hương,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Nguyễn Hiếu,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Kim Dung,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Trúc Vân,1,Nhân tình lạc lối,actor-actor,1.0
Ninh Dương Lan Ngọc,Minh Luân,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Thiên Bảo,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Kha Ly,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Đào Anh Tuấn,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Quốc Hùng,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Mai Huỳnh,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Hải Lý,1,Nguyệt thực (phim truyền hình),actor-actor,1.0
Ninh Dương Lan Ngọc,Don Nguyễn,1,Nguyệt thực (phim truyền hình),actor-actor,1.3
